left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6763078570365906,0.7070149779319763,7.610835695004425e-08,0.668410062789917,0.6512066721916199,-0.01805032044649124,0.6814661622047424,0.5881035327911377,-0.02822708524763584,0.7069168090820312,0.5572740435600281,-0.03652390465140343,0.7327231764793396,0.5690360069274902,-0.04298486188054085,0.7326293587684631,0.5932254195213318,-0.01556487288326025,0.7675660848617554,0.5686219334602356,-0.030881963670253754,0.7730310559272766,0.5715053081512451,-0.0417821928858757,0.7711180448532104,0.5773826837539673,-0.04849395900964737,0.7464315891265869,0.6304618716239929,-0.014654489234089851,0.7803137302398682,0.6139559745788574,-0.02846418507397175,0.7891730070114136,0.6149460673332214,-0.03713493421673775,0.793403148651123,0.611773669719696,-0.04226712882518768,0.7516003251075745,0.6688364744186401,-0.01647340878844261,0.7855368256568909,0.6559750437736511,-0.02970905601978302,0.797823429107666,0.6547761559486389,-0.032260581851005554,0.8074689507484436,0.6519294381141663,-0.032924581319093704,0.7515484690666199,0.7108181715011597,-0.019917743280529976,0.7787718176841736,0.7029768228530884,-0.03070315159857273,0.7943328619003296,0.704738199710846,-0.03218720853328705,0.8080682158470154,0.7042747735977173,-0.03222326934337616,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6908280253410339,0.7320327162742615,2.5415309323761903e-07,0.6844171285629272,0.6719660758972168,-0.019558483734726906,0.698523223400116,0.6047084331512451,-0.030128637328743935,0.7246716022491455,0.570262610912323,-0.03854440525174141,0.7491281032562256,0.5836694240570068,-0.04554376378655434,0.7538836002349854,0.601294755935669,-0.015139532275497913,0.787179172039032,0.5746617913246155,-0.031227007508277893,0.8039352893829346,0.5799679756164551,-0.0440564788877964,0.8111039996147156,0.5971729159355164,-0.05161408334970474,0.7705326676368713,0.6406787633895874,-0.013087212108075619,0.8051518201828003,0.6194871664047241,-0.02549249306321144,0.8236908316612244,0.621863067150116,-0.034898050129413605,0.8340142965316772,0.6310945153236389,-0.040391650050878525,0.7781031727790833,0.6832870244979858,-0.01393476128578186,0.8105770349502563,0.6658929586410522,-0.024513158947229385,0.8283392190933228,0.6651807427406311,-0.0289940033107996,0.8403743505477905,0.6700733304023743,-0.031167084351181984,0.7786868810653687,0.7281699180603027,-0.01675897277891636,0.8058330416679382,0.7170364260673523,-0.024917596951127052,0.8221241235733032,0.7158330082893372,-0.026334695518016815,0.835688591003418,0.7172857522964478,-0.026111990213394165,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7016521096229553,0.7524021863937378,2.496519755368354e-07,0.6958736181259155,0.6897339224815369,-0.022383958101272583,0.7161074876785278,0.6289312243461609,-0.0321689248085022,0.7487703561782837,0.6064504981040955,-0.03938795626163483,0.7722182869911194,0.6113729476928711,-0.04501378536224365,0.7678881287574768,0.6157798767089844,-0.013732081279158592,0.801193356513977,0.5930619835853577,-0.02991868555545807,0.8232822418212891,0.6035810708999634,-0.044293198734521866,0.8364787697792053,0.6258618831634521,-0.05333796143531799,0.7835966944694519,0.652934193611145,-0.009840475395321846,0.8183202147483826,0.6307845711708069,-0.02355106733739376,0.836969256401062,0.6370806694030762,-0.0352761447429657,0.8458555936813354,0.6534096598625183,-0.042773663997650146,0.7914048433303833,0.6904652714729309,-0.009206310845911503,0.824049711227417,0.6721137166023254,-0.020672524347901344,0.8410365581512451,0.6733970046043396,-0.027424050495028496,0.8498618602752686,0.6859294176101685,-0.03122357279062271,0.7940006852149963,0.7323028445243835,-0.011084089986979961,0.8220312595367432,0.7185917496681213,-0.020265299826860428,0.8381338119506836,0.7172912359237671,-0.024212637916207314,0.8493265509605408,0.7233959436416626,-0.026022033765912056,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7139333486557007,0.782892644405365,2.987118534747424e-07,0.7173663377761841,0.7226624488830566,-0.03056895174086094,0.7412697672843933,0.6731791496276855,-0.0419839471578598,0.774640679359436,0.6534197330474854,-0.049548469483852386,0.8018115758895874,0.6524953842163086,-0.05507670342922211,0.7895015478134155,0.6522359848022461,-0.012538887560367584,0.8239083886146545,0.6333498358726501,-0.029912393540143967,0.8455073833465576,0.6485897898674011,-0.04680706933140755,0.859666109085083,0.6767395734786987,-0.057664453983306885,0.8016889691352844,0.6866033673286438,-0.004502848256379366,0.8374699354171753,0.6654537916183472,-0.02079397812485695,0.8582714796066284,0.6787843704223633,-0.03724876046180725,0.8710159659385681,0.7027587890625,-0.04779551178216934,0.80584716796875,0.7207545638084412,-0.0009254066972061992,0.8393958210945129,0.7073647379875183,-0.01707633025944233,0.8572466373443604,0.7168406844139099,-0.030298050493001938,0.8668785691261292,0.7385911345481873,-0.03776741027832031,0.8065940141677856,0.7604754567146301,-0.0003520832397043705,0.8300116062164307,0.750539243221283,-0.0141566451638937,0.8418763875961304,0.7527244687080383,-0.022913916036486626,0.8496084213256836,0.7606925964355469,-0.027788788080215454,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7120220065116882,0.8463538289070129,4.151748669301014e-07,0.7203022241592407,0.7892720699310303,-0.046749748289585114,0.7429484724998474,0.7509732842445374,-0.06549831479787827,0.7725811004638672,0.7458813786506653,-0.07772337645292282,0.8036288022994995,0.7515601515769958,-0.08853384107351303,0.7891591787338257,0.7217413187026978,-0.023298686370253563,0.8245170712471008,0.7048221230506897,-0.039613597095012665,0.847152829170227,0.7202346920967102,-0.057983092963695526,0.8630473017692566,0.7496512532234192,-0.07091562449932098,0.8007256984710693,0.759407639503479,-0.007536986842751503,0.8407050967216492,0.7379078269004822,-0.018887953832745552,0.8655887246131897,0.7424340844154358,-0.03793361410498619,0.8872886896133423,0.7547556757926941,-0.0534842349588871,0.8053435683250427,0.794765055179596,0.0023853599559515715,0.8429020643234253,0.7784982323646545,-0.01018047146499157,0.8660579323768616,0.7794437408447266,-0.02861836552619934,0.8844953775405884,0.7919496297836304,-0.04264051467180252,0.8066553473472595,0.8318514823913574,0.008018579334020615,0.8351043462753296,0.824091911315918,-0.0029867987614125013,0.853123128414154,0.8266168236732483,-0.014776477590203285,0.8697962760925293,0.8336305618286133,-0.024700850248336792,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708239734172821,0.8632607460021973,4.85416023821017e-07,0.7184072732925415,0.8379698395729065,-0.0491463877260685,0.7452259659767151,0.8162674903869629,-0.06854447722434998,0.7780134677886963,0.818512499332428,-0.08000708371400833,0.8123430609703064,0.8271583914756775,-0.08994003385305405,0.7861418724060059,0.7446532249450684,-0.028761742636561394,0.8219574689865112,0.7299972772598267,-0.04202626273036003,0.8475640416145325,0.743905246257782,-0.058463454246520996,0.8671780824661255,0.7670590281486511,-0.07085021585226059,0.7989159226417542,0.7766077518463135,-0.009978937916457653,0.8379468321800232,0.7616056203842163,-0.019452402368187904,0.8636825084686279,0.7713412642478943,-0.03780651465058327,0.8861721158027649,0.7889125347137451,-0.053358614444732666,0.8048795461654663,0.8098879456520081,0.0040365587919950485,0.8407174944877625,0.7973198890686035,-0.005293305031955242,0.8633291125297546,0.8032952547073364,-0.021295910701155663,0.8823207020759583,0.8189460635185242,-0.03436492010951042,0.8059057593345642,0.8425189852714539,0.013784516602754593,0.8352341651916504,0.8363088369369507,0.00645017996430397,0.8542006611824036,0.8398373126983643,-0.002782807219773531,0.8709661364555359,0.8487529754638672,-0.011140985414385796,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7116048336029053,0.8652182817459106,5.969074550193909e-07,0.7173169851303101,0.8466262817382812,-0.057172417640686035,0.7378805875778198,0.823241114616394,-0.0838879644870758,0.7629528641700745,0.8177437782287598,-0.10104983299970627,0.7950447797775269,0.8197690844535828,-0.11742044985294342,0.7824227809906006,0.7631526589393616,-0.04988768696784973,0.8218805193901062,0.7567042708396912,-0.06808005273342133,0.8511350154876709,0.7740360498428345,-0.08657082915306091,0.8727823495864868,0.7982031106948853,-0.09986697137355804,0.7940777540206909,0.7916999459266663,-0.027855893597006798,0.8354566693305969,0.7820497751235962,-0.041919104754924774,0.8649693727493286,0.7931732535362244,-0.061319749802351,0.8894786834716797,0.8082531690597534,-0.07744620740413666,0.8010000586509705,0.8230001926422119,-0.010201017372310162,0.8369762897491455,0.8144936561584473,-0.021379830315709114,0.8621714115142822,0.8195055723190308,-0.03776640072464943,0.8827045559883118,0.8282812833786011,-0.051490820944309235,0.8033322095870972,0.8515399694442749,0.0027920862194150686,0.8313195705413818,0.8470982313156128,-0.004905445035547018,0.8508514761924744,0.8475364446640015,-0.014892912469804287,0.8673904538154602,0.8508738279342651,-0.024512410163879395,Good
0.6931166052818298,0.8802198767662048,3.4952807936861063e-07,0.7386017441749573,0.8819811940193176,0.0018992054974660277,0.7746527791023254,0.867710530757904,-0.008454201743006706,0.8040995597839355,0.8685340881347656,-0.021057477220892906,0.8302509784698486,0.8759337663650513,-0.03578435257077217,0.7728347182273865,0.7889866828918457,-0.028668895363807678,0.8164425492286682,0.7999839782714844,-0.054092057049274445,0.8475313186645508,0.8168622255325317,-0.07120811194181442,0.8724662661552429,0.8365923166275024,-0.08259903639554977,0.759901762008667,0.791469156742096,-0.043214909732341766,0.812610924243927,0.8022311329841614,-0.06794676929712296,0.8456939458847046,0.8219550251960754,-0.08149966597557068,0.8727524876594543,0.8420013785362244,-0.09105783700942993,0.7451418042182922,0.809363842010498,-0.057364821434020996,0.7922040820121765,0.8151616454124451,-0.08008897304534912,0.8198089599609375,0.8354601263999939,-0.08802299946546555,0.8430107831954956,0.8535335063934326,-0.0931289941072464,0.7303081750869751,0.8378053903579712,-0.07092052698135376,0.7556381225585938,0.8278266191482544,-0.09050949662923813,0.7753908038139343,0.8255241513252258,-0.09797079861164093,0.7937185764312744,0.8274050951004028,-0.10288813710212708,0.7285581231117249,0.8535767197608948,3.7717009604421037e-07,0.7321374416351318,0.838857889175415,-0.026819784194231033,0.7466564178466797,0.8249080777168274,-0.040695466101169586,0.7663493752479553,0.8246726393699646,-0.049444761127233505,0.7860482931137085,0.8251743316650391,-0.057224832475185394,0.7719067931175232,0.7890263795852661,-0.03424111753702164,0.8067643046379089,0.7922728061676025,-0.05033671855926514,0.8321325778961182,0.805263102054596,-0.06206231564283371,0.8505210280418396,0.8203027844429016,-0.06830328702926636,0.7781575322151184,0.8050280213356018,-0.024320174008607864,0.8104473948478699,0.8044618368148804,-0.03816286474466324,0.8344391584396362,0.8128244280815125,-0.046972863376140594,0.8527787923812866,0.8234965205192566,-0.05197696387767792,0.7822651863098145,0.8236184120178223,-0.0157525185495615,0.8092159032821655,0.8208686113357544,-0.026166381314396858,0.8287228941917419,0.8246440887451172,-0.03027961589396,0.844444990158081,0.8321065306663513,-0.03215828537940979,0.7836418747901917,0.8392110466957092,-0.009241333231329918,0.804180920124054,0.8344590067863464,-0.016666987910866737,0.8185710310935974,0.8345677256584167,-0.018291864544153214,0.830280601978302,0.837009608745575,-0.018263613805174828,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6933099031448364,0.8904323577880859,4.2733572058750724e-07,0.7055138349533081,0.8794622421264648,-0.04566088691353798,0.7280901074409485,0.8642235398292542,-0.06636877357959747,0.7538366913795471,0.8607403039932251,-0.07867564260959625,0.783015787601471,0.8604599237442017,-0.09015162289142609,0.7625536918640137,0.8133046627044678,-0.042690642178058624,0.80356365442276,0.8200178146362305,-0.05692824348807335,0.8298644423484802,0.8352505564689636,-0.06938469409942627,0.84952312707901,0.8527703881263733,-0.07781833410263062,0.7680422067642212,0.8275861144065857,-0.023761475458741188,0.8111981153488159,0.8296570777893066,-0.03444531187415123,0.8346973657608032,0.8462654948234558,-0.04592984542250633,0.8536950945854187,0.8621330261230469,-0.05540833622217178,0.7710149884223938,0.8464893102645874,-0.008309421129524708,0.8074291944503784,0.8488845229148865,-0.017945148050785065,0.8274919390678406,0.8614635467529297,-0.0294402614235878,0.8430843949317932,0.8766242861747742,-0.038522861897945404,0.7718655467033386,0.8668044209480286,0.003547768807038665,0.7994880080223083,0.866633415222168,-0.0038068683352321386,0.8154329657554626,0.8751996159553528,-0.01190190576016903,0.828288733959198,0.8854033350944519,-0.018862200900912285,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6951789855957031,0.8921164274215698,4.6236124262577505e-07,0.7067868113517761,0.8810394406318665,-0.04228266701102257,0.7295390963554382,0.8626493811607361,-0.06015262380242348,0.7552359700202942,0.8565575480461121,-0.06972100585699081,0.7829136848449707,0.8554865121841431,-0.0779246985912323,0.7599921226501465,0.8082826733589172,-0.037246111780405045,0.8017758131027222,0.8141231536865234,-0.05041687935590744,0.8291491866111755,0.8298273682594299,-0.06207223981618881,0.8490540981292725,0.8477730751037598,-0.06945399194955826,0.7646077871322632,0.8282474279403687,-0.019145628437399864,0.8080738186836243,0.8337043523788452,-0.028688104823231697,0.8323889970779419,0.8507347702980042,-0.039209116250276566,0.8513175249099731,0.8675323724746704,-0.047324225306510925,0.7673078179359436,0.8524988293647766,-0.004310482647269964,0.8034834861755371,0.8587083220481873,-0.012853577733039856,0.8220537900924683,0.8746534585952759,-0.0219976007938385,0.8360172510147095,0.8899195790290833,-0.028890460729599,0.7675198912620544,0.8748468160629272,0.0071614631451666355,0.7947297692298889,0.8786110281944275,0.0008259142050519586,0.8081533908843994,0.8900248408317566,-0.004818557761609554,0.8178496956825256,0.9004719853401184,-0.009345424361526966,Good
